Category: All categories

Day,Petróleo: (Brazil)
2022-01-01,10
2022-01-02,6
2022-01-03,10
2022-01-04,10
2022-01-05,14
2022-01-06,12
2022-01-07,11
2022-01-08,8
2022-01-09,10
2022-01-10,10
2022-01-11,14
2022-01-12,15
2022-01-13,13
2022-01-14,13
2022-01-15,14
2022-01-16,13
2022-01-17,8
2022-01-18,16
2022-01-19,13
2022-01-20,15
2022-01-21,15
2022-01-22,15
2022-01-23,15
2022-01-24,16
2022-01-25,13
2022-01-26,17
2022-01-27,16
2022-01-28,15
2022-01-29,17
2022-01-30,10
2022-01-31,15
2022-02-01,15
2022-02-02,16
2022-02-03,16
2022-02-04,14
2022-02-05,13
2022-02-06,12
2022-02-07,19
2022-02-08,15
2022-02-09,19
2022-02-10,15
2022-02-11,17
2022-02-12,9
2022-02-13,17
2022-02-14,22
2022-02-15,27
2022-02-16,32
2022-02-17,24
2022-02-18,26
2022-02-19,18
2022-02-20,18
2022-02-21,25
2022-02-22,31
2022-02-23,30
2022-02-24,81
2022-02-25,48
2022-02-26,33
2022-02-27,20
2022-02-28,33
2022-03-01,35
2022-03-02,38
2022-03-03,42
2022-03-04,34
2022-03-05,27
2022-03-06,23
2022-03-07,48
2022-03-08,70
2022-03-09,56
2022-03-10,77
2022-03-11,100
2022-03-12,67
2022-03-13,59
2022-03-14,60
2022-03-15,69
2022-03-16,68
2022-03-17,64
2022-03-18,56
2022-03-19,35
2022-03-20,32
2022-03-21,50
2022-03-22,46
2022-03-23,56
2022-03-24,48
2022-03-25,48
2022-03-26,28
2022-03-27,35
2022-03-28,47
2022-03-29,54
2022-03-30,48
2022-03-31,49
2022-04-01,49
2022-04-02,28
2022-04-03,63
2022-04-04,47
2022-04-05,49
2022-04-06,38
2022-04-07,41
2022-04-08,39
2022-04-09,20
2022-04-10,28
2022-04-11,39
2022-04-12,44
2022-04-13,39
2022-04-14,31
2022-04-15,19
2022-04-16,18
2022-04-17,23
2022-04-18,35
2022-04-19,37
2022-04-20,31
2022-04-21,22
2022-04-22,21
2022-04-23,18
2022-04-24,22
2022-04-25,29
2022-04-26,38
2022-04-27,40
2022-04-28,37
2022-04-29,29
2022-04-30,20
2022-05-01,22
2022-05-02,30
2022-05-03,40
2022-05-04,35
2022-05-05,36
2022-05-06,32
2022-05-07,24
2022-05-08,21
2022-05-09,39
2022-05-10,42
2022-05-11,38
2022-05-12,37
2022-05-13,30
2022-05-14,20
2022-05-15,25
2022-05-16,32
2022-05-17,29
2022-05-18,28
2022-05-19,40
2022-05-20,24
2022-05-21,15
2022-05-22,20
2022-05-23,28
2022-05-24,34
2022-05-25,25
2022-05-26,34
2022-05-27,28
2022-05-28,17
2022-05-29,24
2022-05-30,33
2022-05-31,37
2022-06-01,37
2022-06-02,30
2022-06-03,25
2022-06-04,24
2022-06-05,24
2022-06-06,29
2022-06-07,37
2022-06-08,35
2022-06-09,33
2022-06-10,28
2022-06-11,16
2022-06-12,16
2022-06-13,34
2022-06-14,36
2022-06-15,31
2022-06-16,21
2022-06-17,43
2022-06-18,34
2022-06-19,25
2022-06-20,39
2022-06-21,41
2022-06-22,42
2022-06-23,37
2022-06-24,32
2022-06-25,16
2022-06-26,23
2022-06-27,41
2022-06-28,34
2022-06-29,35
2022-06-30,31
2022-07-01,30
2022-07-02,17
2022-07-03,17
2022-07-04,32
2022-07-05,29
2022-07-06,31
2022-07-07,38
2022-07-08,32
2022-07-09,18
2022-07-10,17
2022-07-11,25
2022-07-12,28
2022-07-13,27
2022-07-14,28
2022-07-15,28
2022-07-16,20
2022-07-17,20
2022-07-18,19
2022-07-19,29
2022-07-20,25
2022-07-21,20
2022-07-22,28
2022-07-23,15
2022-07-24,14
2022-07-25,26
2022-07-26,23
2022-07-27,27
2022-07-28,24
2022-07-29,21
2022-07-30,10
2022-07-31,19
2022-08-01,25
2022-08-02,31
2022-08-03,32
2022-08-04,34
2022-08-05,29
2022-08-06,22
2022-08-07,18
