Category: All categories

Day,Petróleo: (Brazil)
2019-07-01,24
2019-07-02,32
2019-07-03,36
2019-07-04,19
2019-07-05,22
2019-07-06,22
2019-07-07,16
2019-07-08,29
2019-07-09,29
2019-07-10,27
2019-07-11,32
2019-07-12,21
2019-07-13,11
2019-07-14,19
2019-07-15,22
2019-07-16,25
2019-07-17,25
2019-07-18,22
2019-07-19,24
2019-07-20,16
2019-07-21,22
2019-07-22,23
2019-07-23,22
2019-07-24,26
2019-07-25,28
2019-07-26,22
2019-07-27,18
2019-07-28,11
2019-07-29,26
2019-07-30,25
2019-07-31,32
2019-08-01,33
2019-08-02,35
2019-08-03,16
2019-08-04,16
2019-08-05,32
2019-08-06,30
2019-08-07,42
2019-08-08,37
2019-08-09,43
2019-08-10,22
2019-08-11,39
2019-08-12,37
2019-08-13,42
2019-08-14,52
2019-08-15,45
2019-08-16,36
2019-08-17,29
2019-08-18,29
2019-08-19,48
2019-08-20,45
2019-08-21,48
2019-08-22,62
2019-08-23,46
2019-08-24,28
2019-08-25,33
2019-08-26,45
2019-08-27,54
2019-08-28,54
2019-08-29,42
2019-08-30,41
2019-08-31,29
2019-09-01,39
2019-09-02,46
2019-09-03,49
2019-09-04,43
2019-09-05,43
2019-09-06,33
2019-09-07,31
2019-09-08,28
2019-09-09,44
2019-09-10,54
2019-09-11,55
2019-09-12,47
2019-09-13,42
2019-09-14,20
2019-09-15,41
2019-09-16,99
2019-09-17,85
2019-09-18,61
2019-09-19,59
2019-09-20,44
2019-09-21,29
2019-09-22,19
2019-09-23,49
2019-09-24,52
2019-09-25,62
2019-09-26,62
2019-09-27,38
2019-09-28,31
2019-09-29,25
2019-09-30,47
2019-10-01,53
2019-10-02,31
2019-10-03,39
2019-10-04,31
2019-10-05,36
2019-10-06,38
2019-10-07,42
2019-10-08,73
2019-10-09,79
2019-10-10,83
2019-10-11,65
2019-10-12,72
2019-10-13,55
2019-10-14,63
2019-10-15,57
2019-10-16,64
2019-10-17,46
2019-10-18,69
2019-10-19,55
2019-10-20,74
2019-10-21,91
2019-10-22,90
2019-10-23,82
2019-10-24,71
2019-10-25,76
2019-10-26,53
2019-10-27,47
2019-10-28,74
2019-10-29,72
2019-10-30,78
2019-10-31,72
2019-11-01,73
2019-11-02,56
2019-11-03,49
2019-11-04,77
2019-11-05,66
2019-11-06,100
2019-11-07,72
2019-11-08,54
2019-11-09,34
2019-11-10,36
2019-11-11,62
2019-11-12,57
2019-11-13,52
2019-11-14,44
2019-11-15,30
2019-11-16,23
2019-11-17,39
2019-11-18,53
2019-11-19,56
2019-11-20,62
2019-11-21,56
2019-11-22,36
2019-11-23,24
2019-11-24,36
2019-11-25,51
2019-11-26,56
2019-11-27,54
2019-11-28,35
2019-11-29,25
2019-11-30,22
2019-12-01,19
2019-12-02,34
2019-12-03,43
2019-12-04,44
2019-12-05,30
2019-12-06,26
2019-12-07,24
2019-12-08,13
2019-12-09,34
2019-12-10,33
2019-12-11,34
2019-12-12,32
2019-12-13,16
2019-12-14,24
2019-12-15,15
2019-12-16,23
2019-12-17,20
2019-12-18,26
2019-12-19,15
2019-12-20,15
2019-12-21,5
2019-12-22,15
2019-12-23,17
2019-12-24,16
2019-12-25,7
2019-12-26,14
2019-12-27,23
2019-12-28,15
2019-12-29,13
2019-12-30,22
2019-12-31,9
