Category: All categories

Day,Petróleo: (Brazil)
2019-01-01,18
2019-01-02,20
2019-01-03,37
2019-01-04,44
2019-01-05,25
2019-01-06,17
2019-01-07,29
2019-01-08,44
2019-01-09,41
2019-01-10,27
2019-01-11,46
2019-01-12,24
2019-01-13,48
2019-01-14,36
2019-01-15,26
2019-01-16,21
2019-01-17,35
2019-01-18,26
2019-01-19,23
2019-01-20,34
2019-01-21,30
2019-01-22,33
2019-01-23,30
2019-01-24,54
2019-01-25,34
2019-01-26,50
2019-01-27,88
2019-01-28,42
2019-01-29,35
2019-01-30,40
2019-01-31,36
2019-02-01,26
2019-02-02,30
2019-02-03,16
2019-02-04,42
2019-02-05,48
2019-02-06,43
2019-02-07,27
2019-02-08,33
2019-02-09,27
2019-02-10,23
2019-02-11,25
2019-02-12,41
2019-02-13,48
2019-02-14,50
2019-02-15,36
2019-02-16,44
2019-02-17,48
2019-02-18,56
2019-02-19,38
2019-02-20,47
2019-02-21,65
2019-02-22,52
2019-02-23,52
2019-02-24,60
2019-02-25,80
2019-02-26,62
2019-02-27,67
2019-02-28,56
2019-03-01,42
2019-03-02,22
2019-03-03,35
2019-03-04,57
2019-03-05,26
2019-03-06,40
2019-03-07,42
2019-03-08,41
2019-03-09,32
2019-03-10,54
2019-03-11,65
2019-03-12,74
2019-03-13,73
2019-03-14,68
2019-03-15,65
2019-03-16,42
2019-03-17,40
2019-03-18,49
2019-03-19,73
2019-03-20,80
2019-03-21,74
2019-03-22,66
2019-03-23,50
2019-03-24,49
2019-03-25,88
2019-03-26,85
2019-03-27,89
2019-03-28,74
2019-03-29,80
2019-03-30,51
2019-03-31,75
2019-04-01,66
2019-04-02,68
2019-04-03,100
2019-04-04,80
2019-04-05,49
2019-04-06,45
2019-04-07,62
2019-04-08,69
2019-04-09,69
2019-04-10,64
2019-04-11,75
2019-04-12,73
2019-04-13,62
2019-04-14,27
2019-04-15,73
2019-04-16,79
2019-04-17,71
2019-04-18,44
2019-04-19,58
2019-04-20,54
2019-04-21,38
2019-04-22,80
2019-04-23,94
2019-04-24,75
2019-04-25,45
2019-04-26,65
2019-04-27,47
2019-04-28,43
2019-04-29,87
2019-04-30,62
2019-05-01,59
2019-05-02,71
2019-05-03,74
2019-05-04,62
2019-05-05,68
2019-05-06,70
2019-05-07,92
2019-05-08,94
2019-05-09,76
2019-05-10,76
2019-05-11,51
2019-05-12,60
2019-05-13,70
2019-05-14,88
2019-05-15,78
2019-05-16,90
2019-05-17,86
2019-05-18,54
2019-05-19,64
2019-05-20,74
2019-05-21,98
2019-05-22,79
2019-05-23,85
2019-05-24,67
2019-05-25,47
2019-05-26,61
2019-05-27,65
2019-05-28,83
2019-05-29,80
2019-05-30,75
2019-05-31,60
2019-06-01,54
2019-06-02,60
2019-06-03,74
2019-06-04,85
2019-06-05,70
2019-06-06,71
2019-06-07,83
2019-06-08,59
2019-06-09,63
2019-06-10,78
2019-06-11,76
2019-06-12,81
2019-06-13,97
2019-06-14,52
2019-06-15,49
2019-06-16,54
2019-06-17,71
2019-06-18,83
2019-06-19,68
2019-06-20,36
2019-06-21,42
2019-06-22,59
2019-06-23,56
2019-06-24,85
2019-06-25,70
2019-06-26,76
2019-06-27,53
2019-06-28,49
2019-06-29,39
2019-06-30,51
