Category: All categories

Day,Petróleo: (Brazil)
2018-07-01,43
2018-07-02,39
2018-07-03,41
2018-07-04,42
2018-07-05,49
2018-07-06,19
2018-07-07,16
2018-07-08,49
2018-07-09,37
2018-07-10,46
2018-07-11,34
2018-07-12,26
2018-07-13,20
2018-07-14,28
2018-07-15,36
2018-07-16,31
2018-07-17,41
2018-07-18,41
2018-07-19,25
2018-07-20,25
2018-07-21,26
2018-07-22,29
2018-07-23,30
2018-07-24,45
2018-07-25,35
2018-07-26,32
2018-07-27,36
2018-07-28,26
2018-07-29,38
2018-07-30,47
2018-07-31,38
2018-08-01,37
2018-08-02,45
2018-08-03,44
2018-08-04,34
2018-08-05,24
2018-08-06,47
2018-08-07,50
2018-08-08,50
2018-08-09,52
2018-08-10,32
2018-08-11,29
2018-08-12,39
2018-08-13,54
2018-08-14,63
2018-08-15,67
2018-08-16,64
2018-08-17,52
2018-08-18,33
2018-08-19,43
2018-08-20,60
2018-08-21,74
2018-08-22,72
2018-08-23,75
2018-08-24,65
2018-08-25,45
2018-08-26,47
2018-08-27,56
2018-08-28,68
2018-08-29,64
2018-08-30,66
2018-08-31,51
2018-09-01,57
2018-09-02,65
2018-09-03,44
2018-09-04,59
2018-09-05,62
2018-09-06,70
2018-09-07,31
2018-09-08,32
2018-09-09,40
2018-09-10,63
2018-09-11,81
2018-09-12,69
2018-09-13,77
2018-09-14,67
2018-09-15,31
2018-09-16,100
2018-09-17,68
2018-09-18,79
2018-09-19,51
2018-09-20,70
2018-09-21,62
2018-09-22,37
2018-09-23,45
2018-09-24,95
2018-09-25,90
2018-09-26,70
2018-09-27,56
2018-09-28,62
2018-09-29,25
2018-09-30,51
2018-10-01,54
2018-10-02,65
2018-10-03,73
2018-10-04,44
2018-10-05,51
2018-10-06,28
2018-10-07,23
2018-10-08,43
2018-10-09,62
2018-10-10,59
2018-10-11,58
2018-10-12,33
2018-10-13,15
2018-10-14,41
2018-10-15,41
2018-10-16,62
2018-10-17,59
2018-10-18,64
2018-10-19,67
2018-10-20,36
2018-10-21,38
2018-10-22,68
2018-10-23,83
2018-10-24,60
2018-10-25,63
2018-10-26,48
2018-10-27,39
2018-10-28,32
2018-10-29,65
2018-10-30,86
2018-10-31,58
2018-11-01,53
2018-11-02,26
2018-11-03,31
2018-11-04,50
2018-11-05,71
2018-11-06,74
2018-11-07,90
2018-11-08,64
2018-11-09,51
2018-11-10,24
2018-11-11,59
2018-11-12,63
2018-11-13,73
2018-11-14,81
2018-11-15,43
2018-11-16,40
2018-11-17,43
2018-11-18,47
2018-11-19,65
2018-11-20,77
2018-11-21,73
2018-11-22,76
2018-11-23,79
2018-11-24,41
2018-11-25,28
2018-11-26,63
2018-11-27,62
2018-11-28,87
2018-11-29,72
2018-11-30,84
2018-12-01,41
2018-12-02,45
2018-12-03,69
2018-12-04,69
2018-12-05,40
2018-12-06,54
2018-12-07,50
2018-12-08,43
2018-12-09,47
2018-12-10,42
2018-12-11,43
2018-12-12,43
2018-12-13,41
2018-12-14,50
2018-12-15,25
2018-12-16,15
2018-12-17,43
2018-12-18,48
2018-12-19,41
2018-12-20,44
2018-12-21,38
2018-12-22,21
2018-12-23,15
2018-12-24,18
2018-12-25,27
2018-12-26,32
2018-12-27,34
2018-12-28,32
2018-12-29,16
2018-12-30,25
2018-12-31,16
