Category: All categories

Day,PETR3: (Brazil)
2022-01-01,5
2022-01-02,0
2022-01-03,41
2022-01-04,36
2022-01-05,27
2022-01-06,21
2022-01-07,26
2022-01-08,7
2022-01-09,0
2022-01-10,31
2022-01-11,41
2022-01-12,44
2022-01-13,26
2022-01-14,33
2022-01-15,19
2022-01-16,5
2022-01-17,38
2022-01-18,21
2022-01-19,42
2022-01-20,30
2022-01-21,27
2022-01-22,6
2022-01-23,8
2022-01-24,40
2022-01-25,27
2022-01-26,36
2022-01-27,27
2022-01-28,46
2022-01-29,12
2022-01-30,9
2022-01-31,32
2022-02-01,33
2022-02-02,26
2022-02-03,46
2022-02-04,41
2022-02-05,4
2022-02-06,4
2022-02-07,31
2022-02-08,30
2022-02-09,20
2022-02-10,26
2022-02-11,31
2022-02-12,0
2022-02-13,8
2022-02-14,27
2022-02-15,30
2022-02-16,33
2022-02-17,21
2022-02-18,25
2022-02-19,7
2022-02-20,0
2022-02-21,29
2022-02-22,40
2022-02-23,36
2022-02-24,78
2022-02-25,46
2022-02-26,5
2022-02-27,7
2022-02-28,7
2022-03-01,6
2022-03-02,46
2022-03-03,35
2022-03-04,34
2022-03-05,13
2022-03-06,0
2022-03-07,50
2022-03-08,73
2022-03-09,35
2022-03-10,51
2022-03-11,36
2022-03-12,10
2022-03-13,8
2022-03-14,33
2022-03-15,35
2022-03-16,34
2022-03-17,34
2022-03-18,37
2022-03-19,5
2022-03-20,5
2022-03-21,37
2022-03-22,38
2022-03-23,31
2022-03-24,29
2022-03-25,25
2022-03-26,9
2022-03-27,5
2022-03-28,29
2022-03-29,52
2022-03-30,31
2022-03-31,29
2022-04-01,25
2022-04-02,3
2022-04-03,8
2022-04-04,36
2022-04-05,29
2022-04-06,26
2022-04-07,32
2022-04-08,37
2022-04-09,4
2022-04-10,0
2022-04-11,25
2022-04-12,43
2022-04-13,37
2022-04-14,46
2022-04-15,15
2022-04-16,4
2022-04-17,0
2022-04-18,20
2022-04-19,33
2022-04-20,28
2022-04-21,4
2022-04-22,23
2022-04-23,0
2022-04-24,5
2022-04-25,30
2022-04-26,16
2022-04-27,24
2022-04-28,20
2022-04-29,21
2022-04-30,4
2022-05-01,4
2022-05-02,27
2022-05-03,26
2022-05-04,27
2022-05-05,32
2022-05-06,55
2022-05-07,10
2022-05-08,7
2022-05-09,32
2022-05-10,35
2022-05-11,39
2022-05-12,30
2022-05-13,29
2022-05-14,11
2022-05-15,13
2022-05-16,34
2022-05-17,33
2022-05-18,32
2022-05-19,34
2022-05-20,25
2022-05-21,4
2022-05-22,7
2022-05-23,34
2022-05-24,99
2022-05-25,45
2022-05-26,35
2022-05-27,23
2022-05-28,12
2022-05-29,0
2022-05-30,43
2022-05-31,34
2022-06-01,26
2022-06-02,35
2022-06-03,30
2022-06-04,9
2022-06-05,3
2022-06-06,31
2022-06-07,26
2022-06-08,32
2022-06-09,17
2022-06-10,27
2022-06-11,0
2022-06-12,6
2022-06-13,27
2022-06-14,23
2022-06-15,20
2022-06-16,6
2022-06-17,69
2022-06-18,15
2022-06-19,4
2022-06-20,100
2022-06-21,53
2022-06-22,40
2022-06-23,23
2022-06-24,39
2022-06-25,8
2022-06-26,8
2022-06-27,40
2022-06-28,42
2022-06-29,31
2022-06-30,22
2022-07-01,32
2022-07-02,4
2022-07-03,0
2022-07-04,32
2022-07-05,28
2022-07-06,33
2022-07-07,28
2022-07-08,30
2022-07-09,0
2022-07-10,5
2022-07-11,29
2022-07-12,24
2022-07-13,25
2022-07-14,21
2022-07-15,18
2022-07-16,6
2022-07-17,8
2022-07-18,31
2022-07-19,30
2022-07-20,23
2022-07-21,28
2022-07-22,28
2022-07-23,0
2022-07-24,0
2022-07-25,27
2022-07-26,41
2022-07-27,15
2022-07-28,63
2022-07-29,97
2022-07-30,20
2022-07-31,11
2022-08-01,32
2022-08-02,32
2022-08-03,35
2022-08-04,40
2022-08-05,42
2022-08-06,8
2022-08-07,8
