Category: All categories

Day,PETR4: (Brazil)
2020-01-01,1
2020-01-02,10
2020-01-03,21
2020-01-04,4
2020-01-05,3
2020-01-06,14
2020-01-07,13
2020-01-08,16
2020-01-09,11
2020-01-10,10
2020-01-11,3
2020-01-12,2
2020-01-13,10
2020-01-14,13
2020-01-15,11
2020-01-16,10
2020-01-17,10
2020-01-18,2
2020-01-19,1
2020-01-20,11
2020-01-21,11
2020-01-22,12
2020-01-23,10
2020-01-24,12
2020-01-25,3
2020-01-26,1
2020-01-27,14
2020-01-28,16
2020-01-29,12
2020-01-30,13
2020-01-31,12
2020-02-01,3
2020-02-02,2
2020-02-03,11
2020-02-04,13
2020-02-05,10
2020-02-06,14
2020-02-07,10
2020-02-08,3
2020-02-09,2
2020-02-10,10
2020-02-11,11
2020-02-12,11
2020-02-13,11
2020-02-14,9
2020-02-15,3
2020-02-16,1
2020-02-17,8
2020-02-18,10
2020-02-19,11
2020-02-20,20
2020-02-21,12
2020-02-22,2
2020-02-23,2
2020-02-24,3
2020-02-25,2
2020-02-26,19
2020-02-27,22
2020-02-28,22
2020-02-29,5
2020-03-01,2
2020-03-02,16
2020-03-03,15
2020-03-04,15
2020-03-05,14
2020-03-06,23
2020-03-07,4
2020-03-08,5
2020-03-09,91
2020-03-10,83
2020-03-11,67
2020-03-12,100
2020-03-13,90
2020-03-14,13
2020-03-15,7
2020-03-16,78
2020-03-17,56
2020-03-18,63
2020-03-19,54
2020-03-20,48
2020-03-21,10
2020-03-22,7
2020-03-23,37
2020-03-24,37
2020-03-25,44
2020-03-26,43
2020-03-27,38
2020-03-28,8
2020-03-29,3
2020-03-30,30
2020-03-31,30
2020-04-01,33
2020-04-02,45
2020-04-03,39
2020-04-04,7
2020-04-05,5
2020-04-06,29
2020-04-07,33
2020-04-08,30
2020-04-09,38
2020-04-10,8
2020-04-11,5
2020-04-12,5
2020-04-13,27
2020-04-14,28
2020-04-15,28
2020-04-16,27
2020-04-17,28
2020-04-18,7
2020-04-19,4
2020-04-20,37
2020-04-21,15
2020-04-22,32
2020-04-23,29
2020-04-24,33
2020-04-25,8
2020-04-26,4
2020-04-27,22
2020-04-28,23
2020-04-29,28
2020-04-30,22
2020-05-01,5
2020-05-02,3
2020-05-03,3
2020-05-04,18
2020-05-05,19
2020-05-06,18
2020-05-07,16
2020-05-08,20
2020-05-09,5
2020-05-10,3
2020-05-11,19
2020-05-12,18
2020-05-13,18
2020-05-14,19
2020-05-15,23
2020-05-16,3
2020-05-17,2
2020-05-18,21
2020-05-19,20
2020-05-20,19
2020-05-21,21
2020-05-22,17
2020-05-23,4
2020-05-24,3
2020-05-25,18
2020-05-26,18
2020-05-27,19
2020-05-28,17
2020-05-29,16
2020-05-30,5
2020-05-31,2
2020-06-01,18
2020-06-02,19
2020-06-03,21
2020-06-04,19
2020-06-05,20
2020-06-06,6
2020-06-07,5
2020-06-08,21
2020-06-09,19
2020-06-10,18
2020-06-11,7
2020-06-12,19
2020-06-13,4
2020-06-14,3
2020-06-15,18
2020-06-16,18
2020-06-17,16
2020-06-18,15
2020-06-19,17
2020-06-20,5
2020-06-21,2
2020-06-22,17
2020-06-23,16
2020-06-24,16
2020-06-25,15
2020-06-26,15
2020-06-27,3
2020-06-28,3
2020-06-29,16
2020-06-30,14
