Category: All categories

Day,PETR4: (Brazil)
2022-01-01,4
2022-01-02,3
2022-01-03,18
2022-01-04,20
2022-01-05,25
2022-01-06,23
2022-01-07,27
2022-01-08,3
2022-01-09,3
2022-01-10,21
2022-01-11,23
2022-01-12,22
2022-01-13,30
2022-01-14,30
2022-01-15,10
2022-01-16,4
2022-01-17,25
2022-01-18,26
2022-01-19,26
2022-01-20,21
2022-01-21,26
2022-01-22,8
2022-01-23,3
2022-01-24,23
2022-01-25,22
2022-01-26,28
2022-01-27,26
2022-01-28,27
2022-01-29,12
2022-01-30,7
2022-01-31,26
2022-02-01,25
2022-02-02,22
2022-02-03,23
2022-02-04,26
2022-02-05,4
2022-02-06,4
2022-02-07,20
2022-02-08,22
2022-02-09,21
2022-02-10,17
2022-02-11,30
2022-02-12,7
2022-02-13,5
2022-02-14,27
2022-02-15,24
2022-02-16,23
2022-02-17,21
2022-02-18,21
2022-02-19,6
2022-02-20,5
2022-02-21,23
2022-02-22,26
2022-02-23,29
2022-02-24,65
2022-02-25,36
2022-02-26,9
2022-02-27,5
2022-02-28,11
2022-03-01,10
2022-03-02,36
2022-03-03,32
2022-03-04,30
2022-03-05,7
2022-03-06,5
2022-03-07,51
2022-03-08,56
2022-03-09,38
2022-03-10,46
2022-03-11,39
2022-03-12,12
2022-03-13,6
2022-03-14,33
2022-03-15,29
2022-03-16,30
2022-03-17,37
2022-03-18,30
2022-03-19,6
2022-03-20,5
2022-03-21,29
2022-03-22,29
2022-03-23,25
2022-03-24,28
2022-03-25,27
2022-03-26,5
2022-03-27,5
2022-03-28,36
2022-03-29,43
2022-03-30,31
2022-03-31,26
2022-04-01,29
2022-04-02,8
2022-04-03,4
2022-04-04,32
2022-04-05,29
2022-04-06,25
2022-04-07,29
2022-04-08,27
2022-04-09,7
2022-04-10,4
2022-04-11,25
2022-04-12,27
2022-04-13,30
2022-04-14,41
2022-04-15,12
2022-04-16,5
2022-04-17,5
2022-04-18,25
2022-04-19,24
2022-04-20,22
2022-04-21,5
2022-04-22,20
2022-04-23,5
2022-04-24,5
2022-04-25,24
2022-04-26,25
2022-04-27,18
2022-04-28,21
2022-04-29,21
2022-04-30,7
2022-05-01,4
2022-05-02,22
2022-05-03,18
2022-05-04,25
2022-05-05,31
2022-05-06,56
2022-05-07,13
2022-05-08,9
2022-05-09,36
2022-05-10,26
2022-05-11,28
2022-05-12,29
2022-05-13,31
2022-05-14,8
2022-05-15,6
2022-05-16,29
2022-05-17,24
2022-05-18,24
2022-05-19,27
2022-05-20,28
2022-05-21,8
2022-05-22,5
2022-05-23,34
2022-05-24,90
2022-05-25,42
2022-05-26,35
2022-05-27,36
2022-05-28,11
2022-05-29,6
2022-05-30,40
2022-05-31,39
2022-06-01,30
2022-06-02,32
2022-06-03,32
2022-06-04,7
2022-06-05,4
2022-06-06,24
2022-06-07,29
2022-06-08,24
2022-06-09,24
2022-06-10,29
2022-06-11,3
2022-06-12,3
2022-06-13,27
2022-06-14,29
2022-06-15,25
2022-06-16,8
2022-06-17,75
2022-06-18,21
2022-06-19,7
2022-06-20,100
2022-06-21,53
2022-06-22,39
2022-06-23,33
2022-06-24,28
2022-06-25,8
2022-06-26,5
2022-06-27,38
2022-06-28,36
2022-06-29,28
2022-06-30,28
2022-07-01,29
2022-07-02,7
2022-07-03,3
2022-07-04,32
2022-07-05,31
2022-07-06,31
2022-07-07,29
2022-07-08,25
2022-07-09,4
2022-07-10,4
2022-07-11,26
2022-07-12,27
2022-07-13,25
2022-07-14,26
2022-07-15,25
2022-07-16,4
2022-07-17,5
2022-07-18,30
2022-07-19,28
2022-07-20,27
2022-07-21,29
2022-07-22,25
2022-07-23,7
2022-07-24,3
2022-07-25,27
2022-07-26,31
2022-07-27,32
2022-07-28,57
2022-07-29,91
2022-07-30,16
2022-07-31,12
2022-08-01,55
2022-08-02,45
2022-08-03,40
2022-08-04,40
2022-08-05,40
2022-08-06,9
2022-08-07,4
