Category: All categories

Day,PETR4: (Brazil)
2018-07-01,9
2018-07-02,52
2018-07-03,54
2018-07-04,57
2018-07-05,63
2018-07-06,39
2018-07-07,12
2018-07-08,4
2018-07-09,20
2018-07-10,50
2018-07-11,43
2018-07-12,46
2018-07-13,49
2018-07-14,8
2018-07-15,1
2018-07-16,38
2018-07-17,43
2018-07-18,42
2018-07-19,44
2018-07-20,53
2018-07-21,11
2018-07-22,8
2018-07-23,45
2018-07-24,50
2018-07-25,55
2018-07-26,40
2018-07-27,39
2018-07-28,6
2018-07-29,3
2018-07-30,43
2018-07-31,36
2018-08-01,37
2018-08-02,50
2018-08-03,81
2018-08-04,12
2018-08-05,9
2018-08-06,53
2018-08-07,50
2018-08-08,49
2018-08-09,45
2018-08-10,45
2018-08-11,9
2018-08-12,5
2018-08-13,47
2018-08-14,50
2018-08-15,39
2018-08-16,38
2018-08-17,45
2018-08-18,7
2018-08-19,3
2018-08-20,41
2018-08-21,41
2018-08-22,43
2018-08-23,37
2018-08-24,42
2018-08-25,3
2018-08-26,3
2018-08-27,37
2018-08-28,33
2018-08-29,35
2018-08-30,38
2018-08-31,39
2018-09-01,9
2018-09-02,5
2018-09-03,33
2018-09-04,35
2018-09-05,33
2018-09-06,38
2018-09-07,9
2018-09-08,6
2018-09-09,3
2018-09-10,35
2018-09-11,34
2018-09-12,39
2018-09-13,33
2018-09-14,33
2018-09-15,6
2018-09-16,1
2018-09-17,32
2018-09-18,41
2018-09-19,43
2018-09-20,39
2018-09-21,37
2018-09-22,7
2018-09-23,5
2018-09-24,34
2018-09-25,39
2018-09-26,36
2018-09-27,56
2018-09-28,49
2018-09-29,9
2018-09-30,3
2018-10-01,33
2018-10-02,60
2018-10-03,74
2018-10-04,57
2018-10-05,59
2018-10-06,4
2018-10-07,5
2018-10-08,74
2018-10-09,77
2018-10-10,53
2018-10-11,56
2018-10-12,10
2018-10-13,4
2018-10-14,3
2018-10-15,40
2018-10-16,47
2018-10-17,42
2018-10-18,39
2018-10-19,45
2018-10-20,4
2018-10-21,2
2018-10-22,42
2018-10-23,41
2018-10-24,39
2018-10-25,45
2018-10-26,51
2018-10-27,13
2018-10-28,5
2018-10-29,100
2018-10-30,59
2018-10-31,59
2018-11-01,57
2018-11-02,14
2018-11-03,5
2018-11-04,4
2018-11-05,49
2018-11-06,65
2018-11-07,50
2018-11-08,57
2018-11-09,48
2018-11-10,12
2018-11-11,4
2018-11-12,49
2018-11-13,46
2018-11-14,56
2018-11-15,8
2018-11-16,48
2018-11-17,11
2018-11-18,6
2018-11-19,60
2018-11-20,23
2018-11-21,44
2018-11-22,38
2018-11-23,39
2018-11-24,7
2018-11-25,3
2018-11-26,47
2018-11-27,46
2018-11-28,49
2018-11-29,46
2018-11-30,45
2018-12-01,6
2018-12-02,6
2018-12-03,46
2018-12-04,48
2018-12-05,41
2018-12-06,46
2018-12-07,51
2018-12-08,7
2018-12-09,2
2018-12-10,46
2018-12-11,44
2018-12-12,44
2018-12-13,45
2018-12-14,41
2018-12-15,6
2018-12-16,6
2018-12-17,36
2018-12-18,44
2018-12-19,48
2018-12-20,46
2018-12-21,47
2018-12-22,8
2018-12-23,6
2018-12-24,13
2018-12-25,7
2018-12-26,52
2018-12-27,52
2018-12-28,44
2018-12-29,9
2018-12-30,5
2018-12-31,7
