Category: All categories

Day,PETR4: (Brazil)
2019-07-01,34
2019-07-02,41
2019-07-03,38
2019-07-04,45
2019-07-05,37
2019-07-06,7
2019-07-07,3
2019-07-08,31
2019-07-09,21
2019-07-10,49
2019-07-11,52
2019-07-12,33
2019-07-13,4
2019-07-14,3
2019-07-15,34
2019-07-16,38
2019-07-17,36
2019-07-18,35
2019-07-19,30
2019-07-20,8
2019-07-21,5
2019-07-22,35
2019-07-23,25
2019-07-24,34
2019-07-25,29
2019-07-26,39
2019-07-27,7
2019-07-28,3
2019-07-29,32
2019-07-30,29
2019-07-31,35
2019-08-01,41
2019-08-02,61
2019-08-03,11
2019-08-04,5
2019-08-05,35
2019-08-06,43
2019-08-07,40
2019-08-08,40
2019-08-09,30
2019-08-10,7
2019-08-11,5
2019-08-12,32
2019-08-13,38
2019-08-14,48
2019-08-15,49
2019-08-16,57
2019-08-17,7
2019-08-18,2
2019-08-19,43
2019-08-20,40
2019-08-21,51
2019-08-22,49
2019-08-23,43
2019-08-24,11
2019-08-25,2
2019-08-26,37
2019-08-27,47
2019-08-28,38
2019-08-29,44
2019-08-30,38
2019-08-31,10
2019-09-01,2
2019-09-02,38
2019-09-03,36
2019-09-04,40
2019-09-05,39
2019-09-06,42
2019-09-07,6
2019-09-08,2
2019-09-09,34
2019-09-10,37
2019-09-11,34
2019-09-12,36
2019-09-13,36
2019-09-14,10
2019-09-15,6
2019-09-16,100
2019-09-17,74
2019-09-18,43
2019-09-19,45
2019-09-20,40
2019-09-21,8
2019-09-22,4
2019-09-23,35
2019-09-24,27
2019-09-25,32
2019-09-26,40
2019-09-27,32
2019-09-28,3
2019-09-29,4
2019-09-30,28
2019-10-01,32
2019-10-02,34
2019-10-03,25
2019-10-04,32
2019-10-05,8
2019-10-06,4
2019-10-07,28
2019-10-08,31
2019-10-09,30
2019-10-10,34
2019-10-11,30
2019-10-12,9
2019-10-13,3
2019-10-14,26
2019-10-15,26
2019-10-16,27
2019-10-17,33
2019-10-18,30
2019-10-19,8
2019-10-20,4
2019-10-21,24
2019-10-22,42
2019-10-23,40
2019-10-24,37
2019-10-25,50
2019-10-26,9
2019-10-27,3
2019-10-28,36
2019-10-29,36
2019-10-30,39
2019-10-31,40
2019-11-01,43
2019-11-02,10
2019-11-03,6
2019-11-04,45
2019-11-05,46
2019-11-06,93
2019-11-07,59
2019-11-08,47
2019-11-09,11
2019-11-10,8
2019-11-11,40
2019-11-12,35
2019-11-13,30
2019-11-14,32
2019-11-15,8
2019-11-16,3
2019-11-17,3
2019-11-18,33
2019-11-19,27
2019-11-20,16
2019-11-21,37
2019-11-22,33
2019-11-23,5
2019-11-24,4
2019-11-25,28
2019-11-26,31
2019-11-27,30
2019-11-28,31
2019-11-29,26
2019-11-30,8
2019-12-01,6
2019-12-02,35
2019-12-03,38
2019-12-04,33
2019-12-05,39
2019-12-06,31
2019-12-07,5
2019-12-08,7
2019-12-09,30
2019-12-10,32
2019-12-11,35
2019-12-12,32
2019-12-13,43
2019-12-14,9
2019-12-15,8
2019-12-16,43
2019-12-17,29
2019-12-18,33
2019-12-19,45
2019-12-20,33
2019-12-21,5
2019-12-22,4
2019-12-23,32
2019-12-24,13
2019-12-25,8
2019-12-26,36
2019-12-27,37
2019-12-28,6
2019-12-29,8
2019-12-30,28
2019-12-31,10
