Category: All categories

Day,PETR4: (Brazil)
2019-01-01,4
2019-01-02,65
2019-01-03,75
2019-01-04,63
2019-01-05,12
2019-01-06,6
2019-01-07,69
2019-01-08,63
2019-01-09,62
2019-01-10,63
2019-01-11,50
2019-01-12,9
2019-01-13,8
2019-01-14,51
2019-01-15,51
2019-01-16,45
2019-01-17,48
2019-01-18,47
2019-01-19,11
2019-01-20,4
2019-01-21,52
2019-01-22,43
2019-01-23,45
2019-01-24,50
2019-01-25,22
2019-01-26,7
2019-01-27,0
2019-01-28,39
2019-01-29,46
2019-01-30,45
2019-01-31,44
2019-02-01,47
2019-02-02,7
2019-02-03,4
2019-02-04,42
2019-02-05,34
2019-02-06,43
2019-02-07,37
2019-02-08,40
2019-02-09,8
2019-02-10,6
2019-02-11,39
2019-02-12,40
2019-02-13,43
2019-02-14,47
2019-02-15,60
2019-02-16,5
2019-02-17,3
2019-02-18,43
2019-02-19,44
2019-02-20,49
2019-02-21,38
2019-02-22,37
2019-02-23,10
2019-02-24,6
2019-02-25,38
2019-02-26,41
2019-02-27,43
2019-02-28,56
2019-03-01,47
2019-03-02,8
2019-03-03,5
2019-03-04,4
2019-03-05,5
2019-03-06,32
2019-03-07,33
2019-03-08,32
2019-03-09,6
2019-03-10,3
2019-03-11,35
2019-03-12,44
2019-03-13,43
2019-03-14,40
2019-03-15,44
2019-03-16,9
2019-03-17,6
2019-03-18,43
2019-03-19,50
2019-03-20,47
2019-03-21,49
2019-03-22,44
2019-03-23,10
2019-03-24,3
2019-03-25,52
2019-03-26,47
2019-03-27,45
2019-03-28,38
2019-03-29,39
2019-03-30,12
2019-03-31,4
2019-04-01,37
2019-04-02,37
2019-04-03,44
2019-04-04,42
2019-04-05,40
2019-04-06,5
2019-04-07,4
2019-04-08,40
2019-04-09,39
2019-04-10,50
2019-04-11,38
2019-04-12,100
2019-04-13,26
2019-04-14,7
2019-04-15,82
2019-04-16,70
2019-04-17,64
2019-04-18,69
2019-04-19,15
2019-04-20,9
2019-04-21,4
2019-04-22,54
2019-04-23,47
2019-04-24,47
2019-04-25,39
2019-04-26,47
2019-04-27,12
2019-04-28,5
2019-04-29,38
2019-04-30,42
2019-05-01,10
2019-05-02,32
2019-05-03,36
2019-05-04,6
2019-05-05,7
2019-05-06,32
2019-05-07,32
2019-05-08,50
2019-05-09,41
2019-05-10,35
2019-05-11,8
2019-05-12,4
2019-05-13,40
2019-05-14,40
2019-05-15,36
2019-05-16,35
2019-05-17,36
2019-05-18,11
2019-05-19,6
2019-05-20,39
2019-05-21,41
2019-05-22,43
2019-05-23,35
2019-05-24,33
2019-05-25,7
2019-05-26,3
2019-05-27,36
2019-05-28,37
2019-05-29,32
2019-05-30,34
2019-05-31,36
2019-06-01,8
2019-06-02,4
2019-06-03,37
2019-06-04,36
2019-06-05,36
2019-06-06,37
2019-06-07,52
2019-06-08,8
2019-06-09,3
2019-06-10,39
2019-06-11,41
2019-06-12,35
2019-06-13,42
2019-06-14,36
2019-06-15,6
2019-06-16,5
2019-06-17,49
2019-06-18,41
2019-06-19,39
2019-06-20,11
2019-06-21,42
2019-06-22,11
2019-06-23,7
2019-06-24,39
2019-06-25,37
2019-06-26,37
2019-06-27,32
2019-06-28,26
2019-06-29,7
2019-06-30,4
