Category: All categories

Day,PETR4: (Brazil)
2018-01-01,1
2018-01-02,11
2018-01-03,13
2018-01-04,13
2018-01-05,12
2018-01-06,1
2018-01-07,2
2018-01-08,13
2018-01-09,13
2018-01-10,10
2018-01-11,12
2018-01-12,15
2018-01-13,2
2018-01-14,1
2018-01-15,12
2018-01-16,15
2018-01-17,15
2018-01-18,15
2018-01-19,14
2018-01-20,4
2018-01-21,1
2018-01-22,14
2018-01-23,14
2018-01-24,25
2018-01-25,12
2018-01-26,20
2018-01-27,4
2018-01-28,1
2018-01-29,17
2018-01-30,14
2018-01-31,16
2018-02-01,15
2018-02-02,17
2018-02-03,3
2018-02-04,2
2018-02-05,16
2018-02-06,16
2018-02-07,17
2018-02-08,15
2018-02-09,10
2018-02-10,3
2018-02-11,3
2018-02-12,4
2018-02-13,1
2018-02-14,11
2018-02-15,13
2018-02-16,13
2018-02-17,2
2018-02-18,1
2018-02-19,12
2018-02-20,15
2018-02-21,17
2018-02-22,17
2018-02-23,19
2018-02-24,4
2018-02-25,3
2018-02-26,11
2018-02-27,18
2018-02-28,14
2018-03-01,15
2018-03-02,17
2018-03-03,3
2018-03-04,1
2018-03-05,18
2018-03-06,18
2018-03-07,15
2018-03-08,12
2018-03-09,15
2018-03-10,2
2018-03-11,3
2018-03-12,14
2018-03-13,14
2018-03-14,15
2018-03-15,20
2018-03-16,19
2018-03-17,3
2018-03-18,0
2018-03-19,11
2018-03-20,11
2018-03-21,14
2018-03-22,11
2018-03-23,15
2018-03-24,3
2018-03-25,1
2018-03-26,13
2018-03-27,12
2018-03-28,14
2018-03-29,13
2018-03-30,2
2018-03-31,1
2018-04-01,1
2018-04-02,13
2018-04-03,11
2018-04-04,13
2018-04-05,20
2018-04-06,18
2018-04-07,1
2018-04-08,2
2018-04-09,11
2018-04-10,16
2018-04-11,15
2018-04-12,15
2018-04-13,11
2018-04-14,1
2018-04-15,0
2018-04-16,12
2018-04-17,11
2018-04-18,14
2018-04-19,12
2018-04-20,12
2018-04-21,4
2018-04-22,1
2018-04-23,12
2018-04-24,12
2018-04-25,12
2018-04-26,14
2018-04-27,13
2018-04-28,2
2018-04-29,0
2018-04-30,10
2018-05-01,2
2018-05-02,12
2018-05-03,13
2018-05-04,13
2018-05-05,2
2018-05-06,1
2018-05-07,13
2018-05-08,21
2018-05-09,22
2018-05-10,27
2018-05-11,23
2018-05-12,4
2018-05-13,0
2018-05-14,21
2018-05-15,24
2018-05-16,27
2018-05-17,20
2018-05-18,25
2018-05-19,4
2018-05-20,3
2018-05-21,16
2018-05-22,19
2018-05-23,19
2018-05-24,59
2018-05-25,57
2018-05-26,9
2018-05-27,4
2018-05-28,64
2018-05-29,79
2018-05-30,57
2018-05-31,10
2018-06-01,100
2018-06-02,18
2018-06-03,4
2018-06-04,59
2018-06-05,51
2018-06-06,42
2018-06-07,50
2018-06-08,44
2018-06-09,8
2018-06-10,2
2018-06-11,34
2018-06-12,33
2018-06-13,28
2018-06-14,28
2018-06-15,25
2018-06-16,6
2018-06-17,3
2018-06-18,30
2018-06-19,32
2018-06-20,30
2018-06-21,32
2018-06-22,31
2018-06-23,7
2018-06-24,2
2018-06-25,26
2018-06-26,26
2018-06-27,26
2018-06-28,27
2018-06-29,31
2018-06-30,4
