Category: All categories

Day,Petrobras: (Brazil)
2018-01-01,7
2018-01-02,17
2018-01-03,22
2018-01-04,20
2018-01-05,16
2018-01-06,10
2018-01-07,8
2018-01-08,15
2018-01-09,18
2018-01-10,19
2018-01-11,17
2018-01-12,17
2018-01-13,10
2018-01-14,9
2018-01-15,18
2018-01-16,19
2018-01-17,17
2018-01-18,14
2018-01-19,14
2018-01-20,9
2018-01-21,8
2018-01-22,16
2018-01-23,14
2018-01-24,20
2018-01-25,15
2018-01-26,18
2018-01-27,9
2018-01-28,8
2018-01-29,19
2018-01-30,20
2018-01-31,17
2018-02-01,15
2018-02-02,15
2018-02-03,7
2018-02-04,6
2018-02-05,15
2018-02-06,16
2018-02-07,17
2018-02-08,31
2018-02-09,30
2018-02-10,13
2018-02-11,12
2018-02-12,15
2018-02-13,12
2018-02-14,16
2018-02-15,21
2018-02-16,21
2018-02-17,12
2018-02-18,11
2018-02-19,22
2018-02-20,25
2018-02-21,23
2018-02-22,21
2018-02-23,20
2018-02-24,11
2018-02-25,10
2018-02-26,19
2018-02-27,19
2018-02-28,19
2018-03-01,18
2018-03-02,20
2018-03-03,12
2018-03-04,12
2018-03-05,27
2018-03-06,22
2018-03-07,19
2018-03-08,13
2018-03-09,16
2018-03-10,7
2018-03-11,8
2018-03-12,16
2018-03-13,15
2018-03-14,17
2018-03-15,20
2018-03-16,16
2018-03-17,10
2018-03-18,10
2018-03-19,18
2018-03-20,16
2018-03-21,17
2018-03-22,14
2018-03-23,14
2018-03-24,15
2018-03-25,19
2018-03-26,20
2018-03-27,18
2018-03-28,20
2018-03-29,18
2018-03-30,19
2018-03-31,17
2018-04-01,17
2018-04-02,20
2018-04-03,17
2018-04-04,18
2018-04-05,22
2018-04-06,19
2018-04-07,15
2018-04-08,17
2018-04-09,22
2018-04-10,18
2018-04-11,18
2018-04-12,17
2018-04-13,13
2018-04-14,9
2018-04-15,10
2018-04-16,15
2018-04-17,14
2018-04-18,16
2018-04-19,16
2018-04-20,15
2018-04-21,8
2018-04-22,8
2018-04-23,13
2018-04-24,14
2018-04-25,14
2018-04-26,15
2018-04-27,15
2018-04-28,8
2018-04-29,8
2018-04-30,14
2018-05-01,8
2018-05-02,14
2018-05-03,14
2018-05-04,13
2018-05-05,7
2018-05-06,6
2018-05-07,16
2018-05-08,21
2018-05-09,20
2018-05-10,23
2018-05-11,21
2018-05-12,8
2018-05-13,6
2018-05-14,17
2018-05-15,19
2018-05-16,21
2018-05-17,19
2018-05-18,21
2018-05-19,10
2018-05-20,8
2018-05-21,20
2018-05-22,25
2018-05-23,32
2018-05-24,75
2018-05-25,65
2018-05-26,35
2018-05-27,31
2018-05-28,72
2018-05-29,81
2018-05-30,68
2018-05-31,25
2018-06-01,100
2018-06-02,34
2018-06-03,17
2018-06-04,44
2018-06-05,36
2018-06-06,30
2018-06-07,33
2018-06-08,28
2018-06-09,10
2018-06-10,7
2018-06-11,23
2018-06-12,23
2018-06-13,21
2018-06-14,20
2018-06-15,18
2018-06-16,7
2018-06-17,6
2018-06-18,20
2018-06-19,20
2018-06-20,22
2018-06-21,24
2018-06-22,24
2018-06-23,10
2018-06-24,6
2018-06-25,20
2018-06-26,18
2018-06-27,19
2018-06-28,20
2018-06-29,19
2018-06-30,8
