Category: All categories

Day,Petrobras: (Brazil)
2019-01-01,18
2019-01-02,58
2019-01-03,63
2019-01-04,59
2019-01-05,25
2019-01-06,19
2019-01-07,62
2019-01-08,57
2019-01-09,57
2019-01-10,58
2019-01-11,53
2019-01-12,26
2019-01-13,20
2019-01-14,47
2019-01-15,50
2019-01-16,45
2019-01-17,50
2019-01-18,47
2019-01-19,20
2019-01-20,15
2019-01-21,48
2019-01-22,41
2019-01-23,45
2019-01-24,48
2019-01-25,35
2019-01-26,21
2019-01-27,19
2019-01-28,61
2019-01-29,54
2019-01-30,48
2019-01-31,55
2019-02-01,48
2019-02-02,22
2019-02-03,16
2019-02-04,43
2019-02-05,46
2019-02-06,45
2019-02-07,44
2019-02-08,43
2019-02-09,18
2019-02-10,14
2019-02-11,39
2019-02-12,43
2019-02-13,44
2019-02-14,48
2019-02-15,48
2019-02-16,17
2019-02-17,13
2019-02-18,42
2019-02-19,45
2019-02-20,48
2019-02-21,39
2019-02-22,43
2019-02-23,19
2019-02-24,12
2019-02-25,43
2019-02-26,47
2019-02-27,55
2019-02-28,59
2019-03-01,47
2019-03-02,20
2019-03-03,16
2019-03-04,21
2019-03-05,16
2019-03-06,32
2019-03-07,37
2019-03-08,41
2019-03-09,22
2019-03-10,17
2019-03-11,46
2019-03-12,44
2019-03-13,46
2019-03-14,44
2019-03-15,47
2019-03-16,25
2019-03-17,17
2019-03-18,47
2019-03-19,54
2019-03-20,57
2019-03-21,54
2019-03-22,49
2019-03-23,19
2019-03-24,15
2019-03-25,51
2019-03-26,48
2019-03-27,49
2019-03-28,46
2019-03-29,46
2019-03-30,20
2019-03-31,15
2019-04-01,45
2019-04-02,43
2019-04-03,44
2019-04-04,45
2019-04-05,48
2019-04-06,21
2019-04-07,15
2019-04-08,48
2019-04-09,42
2019-04-10,48
2019-04-11,43
2019-04-12,100
2019-04-13,48
2019-04-14,25
2019-04-15,75
2019-04-16,72
2019-04-17,69
2019-04-18,72
2019-04-19,30
2019-04-20,24
2019-04-21,17
2019-04-22,52
2019-04-23,54
2019-04-24,49
2019-04-25,51
2019-04-26,59
2019-04-27,33
2019-04-28,21
2019-04-29,51
2019-04-30,50
2019-05-01,23
2019-05-02,42
2019-05-03,43
2019-05-04,21
2019-05-05,19
2019-05-06,42
2019-05-07,46
2019-05-08,51
2019-05-09,46
2019-05-10,40
2019-05-11,22
2019-05-12,16
2019-05-13,37
2019-05-14,44
2019-05-15,42
2019-05-16,41
2019-05-17,49
2019-05-18,33
2019-05-19,24
2019-05-20,47
2019-05-21,49
2019-05-22,44
2019-05-23,38
2019-05-24,37
2019-05-25,21
2019-05-26,13
2019-05-27,39
2019-05-28,42
2019-05-29,36
2019-05-30,44
2019-05-31,47
2019-06-01,27
2019-06-02,16
2019-06-03,38
2019-06-04,38
2019-06-05,41
2019-06-06,45
2019-06-07,52
2019-06-08,16
2019-06-09,13
2019-06-10,39
2019-06-11,45
2019-06-12,41
2019-06-13,46
2019-06-14,39
2019-06-15,17
2019-06-16,21
2019-06-17,55
2019-06-18,44
2019-06-19,44
2019-06-20,23
2019-06-21,42
2019-06-22,19
2019-06-23,18
2019-06-24,42
2019-06-25,44
2019-06-26,39
2019-06-27,36
2019-06-28,33
2019-06-29,17
2019-06-30,15
