Category: All categories

Day,Petrobras: (Brazil)
2021-01-01,3
2021-01-02,3
2021-01-03,2
2021-01-04,9
2021-01-05,10
2021-01-06,12
2021-01-07,11
2021-01-08,12
2021-01-09,4
2021-01-10,3
2021-01-11,9
2021-01-12,9
2021-01-13,10
2021-01-14,10
2021-01-15,9
2021-01-16,4
2021-01-17,3
2021-01-18,9
2021-01-19,10
2021-01-20,10
2021-01-21,11
2021-01-22,10
2021-01-23,4
2021-01-24,3
2021-01-25,6
2021-01-26,10
2021-01-27,11
2021-01-28,10
2021-01-29,8
2021-01-30,4
2021-01-31,3
2021-02-01,9
2021-02-02,10
2021-02-03,9
2021-02-04,9
2021-02-05,10
2021-02-06,5
2021-02-07,3
2021-02-08,12
2021-02-09,12
2021-02-10,10
2021-02-11,9
2021-02-12,8
2021-02-13,4
2021-02-14,3
2021-02-15,5
2021-02-16,3
2021-02-17,7
2021-02-18,13
2021-02-19,34
2021-02-20,37
2021-02-21,17
2021-02-22,83
2021-02-23,100
2021-02-24,56
2021-02-25,45
2021-02-26,32
2021-02-27,12
2021-02-28,10
2021-03-01,26
2021-03-02,28
2021-03-03,30
2021-03-04,23
2021-03-05,22
2021-03-06,10
2021-03-07,7
2021-03-08,25
2021-03-09,24
2021-03-10,17
2021-03-11,18
2021-03-12,17
2021-03-13,6
2021-03-14,6
2021-03-15,14
2021-03-16,13
2021-03-17,14
2021-03-18,15
2021-03-19,14
2021-03-20,6
2021-03-21,5
2021-03-22,12
2021-03-23,11
2021-03-24,13
2021-03-25,13
2021-03-26,11
2021-03-27,5
2021-03-28,4
2021-03-29,10
2021-03-30,11
2021-03-31,11
2021-04-01,12
2021-04-02,6
2021-04-03,4
2021-04-04,3
2021-04-05,11
2021-04-06,11
2021-04-07,12
2021-04-08,12
2021-04-09,10
2021-04-10,4
2021-04-11,4
2021-04-12,10
2021-04-13,11
2021-04-14,11
2021-04-15,14
2021-04-16,11
2021-04-17,5
2021-04-18,4
2021-04-19,14
2021-04-20,15
2021-04-21,7
2021-04-22,10
2021-04-23,9
2021-04-24,4
2021-04-25,3
2021-04-26,9
2021-04-27,9
2021-04-28,10
2021-04-29,10
2021-04-30,11
2021-05-01,5
2021-05-02,4
2021-05-03,10
2021-05-04,9
2021-05-05,9
2021-05-06,9
2021-05-07,9
2021-05-08,4
2021-05-09,3
2021-05-10,9
2021-05-11,10
2021-05-12,10
2021-05-13,11
2021-05-14,13
2021-05-15,5
2021-05-16,3
2021-05-17,10
2021-05-18,11
2021-05-19,10
2021-05-20,10
2021-05-21,9
2021-05-22,5
2021-05-23,3
2021-05-24,11
2021-05-25,12
2021-05-26,13
2021-05-27,12
2021-05-28,14
2021-05-29,7
2021-05-30,4
2021-05-31,10
2021-06-01,10
2021-06-02,11
2021-06-03,6
2021-06-04,10
2021-06-05,4
2021-06-06,3
2021-06-07,9
2021-06-08,9
2021-06-09,9
2021-06-10,9
2021-06-11,10
2021-06-12,4
2021-06-13,3
2021-06-14,9
2021-06-15,10
2021-06-16,9
2021-06-17,10
2021-06-18,9
2021-06-19,3
2021-06-20,3
2021-06-21,9
2021-06-22,9
2021-06-23,10
2021-06-24,9
2021-06-25,8
2021-06-26,4
2021-06-27,3
2021-06-28,10
2021-06-29,10
2021-06-30,8
