Category: All categories

Day,Petrobras: (Brazil)
2018-07-01,19
2018-07-02,54
2018-07-03,63
2018-07-04,73
2018-07-05,71
2018-07-06,46
2018-07-07,26
2018-07-08,17
2018-07-09,40
2018-07-10,58
2018-07-11,51
2018-07-12,55
2018-07-13,55
2018-07-14,21
2018-07-15,20
2018-07-16,56
2018-07-17,52
2018-07-18,55
2018-07-19,55
2018-07-20,60
2018-07-21,21
2018-07-22,21
2018-07-23,58
2018-07-24,56
2018-07-25,63
2018-07-26,54
2018-07-27,57
2018-07-28,24
2018-07-29,19
2018-07-30,51
2018-07-31,54
2018-08-01,50
2018-08-02,64
2018-08-03,91
2018-08-04,30
2018-08-05,18
2018-08-06,64
2018-08-07,64
2018-08-08,62
2018-08-09,54
2018-08-10,57
2018-08-11,21
2018-08-12,16
2018-08-13,55
2018-08-14,51
2018-08-15,53
2018-08-16,50
2018-08-17,51
2018-08-18,24
2018-08-19,15
2018-08-20,55
2018-08-21,48
2018-08-22,55
2018-08-23,48
2018-08-24,48
2018-08-25,24
2018-08-26,14
2018-08-27,49
2018-08-28,43
2018-08-29,47
2018-08-30,49
2018-08-31,51
2018-09-01,24
2018-09-02,20
2018-09-03,48
2018-09-04,48
2018-09-05,45
2018-09-06,48
2018-09-07,31
2018-09-08,19
2018-09-09,15
2018-09-10,47
2018-09-11,43
2018-09-12,52
2018-09-13,50
2018-09-14,51
2018-09-15,24
2018-09-16,16
2018-09-17,45
2018-09-18,51
2018-09-19,52
2018-09-20,52
2018-09-21,56
2018-09-22,24
2018-09-23,17
2018-09-24,51
2018-09-25,55
2018-09-26,51
2018-09-27,68
2018-09-28,71
2018-09-29,23
2018-09-30,19
2018-10-01,51
2018-10-02,64
2018-10-03,82
2018-10-04,73
2018-10-05,73
2018-10-06,23
2018-10-07,14
2018-10-08,80
2018-10-09,84
2018-10-10,77
2018-10-11,68
2018-10-12,34
2018-10-13,20
2018-10-14,20
2018-10-15,52
2018-10-16,61
2018-10-17,61
2018-10-18,55
2018-10-19,59
2018-10-20,26
2018-10-21,19
2018-10-22,56
2018-10-23,56
2018-10-24,52
2018-10-25,61
2018-10-26,63
2018-10-27,31
2018-10-28,21
2018-10-29,100
2018-10-30,94
2018-10-31,85
2018-11-01,76
2018-11-02,37
2018-11-03,26
2018-11-04,21
2018-11-05,75
2018-11-06,96
2018-11-07,74
2018-11-08,69
2018-11-09,67
2018-11-10,31
2018-11-11,25
2018-11-12,65
2018-11-13,63
2018-11-14,69
2018-11-15,31
2018-11-16,57
2018-11-17,28
2018-11-18,21
2018-11-19,86
2018-11-20,59
2018-11-21,62
2018-11-22,54
2018-11-23,54
2018-11-24,26
2018-11-25,21
2018-11-26,57
2018-11-27,64
2018-11-28,67
2018-11-29,62
2018-11-30,56
2018-12-01,23
2018-12-02,20
2018-12-03,59
2018-12-04,64
2018-12-05,57
2018-12-06,61
2018-12-07,59
2018-12-08,26
2018-12-09,20
2018-12-10,55
2018-12-11,55
2018-12-12,57
2018-12-13,58
2018-12-14,52
2018-12-15,23
2018-12-16,19
2018-12-17,49
2018-12-18,55
2018-12-19,54
2018-12-20,60
2018-12-21,54
2018-12-22,25
2018-12-23,20
2018-12-24,21
2018-12-25,20
2018-12-26,67
2018-12-27,63
2018-12-28,55
2018-12-29,25
2018-12-30,18
2018-12-31,20
